-5.700848535316392907e-01,2.477008906079255779e-01,3.942782798768082464e-01,-9.923245279391421647e-01,-1.995443835987365314e-02,-8.682968964502460474e-02,-8.575812868905866027e-02
-5.005280236137947814e-01,2.499962173505632379e-01,4.003090207198313766e-01,-9.961912936295951315e-01,-1.271407202496499609e-03,-1.023264529757532404e-03,-8.717937227361539920e-02
-4.307989168343838160e-01,2.491103362640504915e-01,3.944828564063219134e-01,-9.925795467000027017e-01,6.231615159965318146e-03,8.474765730875381819e-02,-8.697611756104776937e-02
-5.690915582054180133e-01,1.801029634198339779e-01,4.001310606498830191e-01,9.963098799624720003e-01,1.233817996435982670e-03,8.581374751103462706e-02,1.049533433849861265e-03
-5.011820270916620412e-01,1.793974751680251500e-01,4.064422423486746538e-01,9.999971746312672494e-01,1.351794452800637175e-03,1.954900124449430229e-03,4.179406167538258127e-05
-4.356039266243226793e-01,1.795809606028209993e-01,4.010126500167106034e-01,-9.968690124912763517e-01,-1.347873907989631049e-03,7.905903358337958153e-02,-1.561392249930286741e-04
-5.706868760261485374e-01,1.097033646983000821e-01,3.941052506257601284e-01,-9.923412524905678156e-01,6.168496658738844597e-03,-8.754933850482664315e-02,8.692468913829841382e-02
-5.059944971703105310e-01,1.088759317541070221e-01,3.998105600576325469e-01,-9.961638037261323353e-01,-7.848603352062404406e-04,-7.985183291216757170e-03,8.713952597956638180e-02
-4.314598595206484699e-01,1.099688887988705122e-01,3.945755599122977020e-01,-9.926743956344565856e-01,-8.798170880408386074e-03,8.368022830087959441e-02,8.670499312287728577e-02
-5.968212598558816362e-01,1.773605239071907314e-01,3.940973725279189877e-01,-9.160919304982731992e-01,-3.826081506845068203e-01,-1.113698171300749745e-01,-4.453472508214524617e-02
-5.503905852835070389e-01,2.291137310848725961e-01,4.002977719826655290e-01,-9.198693025589894656e-01,-3.824139417982229117e-01,-3.442349474997910552e-02,-8.009410925393743719e-02
-5.009417329772493099e-01,2.773892242768913330e-01,3.945437447579281387e-01,-9.194459502371231663e-01,-3.741890252799794370e-01,4.422282615719068388e-02,-1.124547002096550896e-01
-5.485964096928992451e-01,1.337475570560561766e-01,4.000210101513146932e-01,9.202691683397032918e-01,3.823988214382975093e-01,7.754307618712744099e-02,-2.937465746845700082e-02
-5.011919307186004646e-01,1.785131114798761409e-01,4.063981945559349551e-01,9.233603376999265366e-01,3.839267733551967599e-01,2.260663110325481819e-03,-8.993698052381500453e-04
-4.538421441842382942e-01,2.260578968834107139e-01,4.009131596521779972e-01,-9.203617772012341325e-01,-3.826937776845584782e-01,7.431491427398348448e-02,-3.093485259311866409e-02
-5.000037316224442696e-01,8.265384111957310709e-02,3.941954440121263614e-01,9.194485446457374422e-01,3.742879106261202682e-01,4.563795862189082286e-02,-1.115352430436018921e-01
-4.512456243202965234e-01,1.285862559601121391e-01,4.001805858630677060e-01,9.198757844151306262e-01,3.823975928135786573e-01,-3.099157492561188318e-02,-8.148708204776405895e-02
-4.050511107130941868e-01,1.764118592153189613e-01,3.948687428448590109e-01,-9.142208341015755080e-01,-3.878002145815640511e-01,1.064455502414459326e-01,4.980567135285041830e-02
-5.632941031307876489e-01,1.112874365853962905e-01,3.941083674770876621e-01,7.064391167935910598e-01,6.983885914407688134e-01,1.148510829460201443e-01,-2.525540614659953741e-03
-5.708311282115858809e-01,1.755233050867718581e-01,3.999859669368037718e-01,-7.032263164061753891e-01,-7.055809787398222843e-01,-6.554557516426258446e-02,-5.772354745458764536e-02
-5.700455424054006182e-01,2.462426975391917017e-01,3.947070794568043328e-01,-7.062577002592143049e-01,-6.978494896364985101e-01,-3.890905970467057468e-03,-1.191260319551242230e-01
-5.018620283405161864e-01,1.123373713022933207e-01,4.000669636694464404e-01,7.038064452567173168e-01,7.054410391922406598e-01,6.067081033430836434e-02,-5.769298581156324934e-02
